"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TCS","EQ","12-Apr-2016","       2506.65","       2498.00","       2525.00","       2488.10","       2520.05","       2518.15","       2502.73","     651814","      16313.15","      41843"
"TCS","EQ","13-Apr-2016","       2518.15","       2530.00","       2545.00","       2512.50","       2528.00","       2526.20","       2524.85","     800734","      20217.37","      51204"
"TCS","EQ","18-Apr-2016","       2526.20","       2453.00","       2553.50","       2440.00","       2522.40","       2519.75","       2495.75","    3560752","      88867.60","     185897"
"TCS","EQ","20-Apr-2016","       2519.75","       2534.90","       2534.90","       2440.00","       2453.00","       2450.35","       2472.11","    3202512","      79169.58","     118381"
"TCS","EQ","21-Apr-2016","       2450.35","       2451.00","       2467.40","       2412.20","       2418.20","       2424.40","       2440.23","    1262862","      30816.73","      64118"
"TCS","EQ","22-Apr-2016","       2424.40","       2419.00","       2435.40","       2404.20","       2423.40","       2417.05","       2420.24","     982063","      23768.31","      54414"
"TCS","EQ","25-Apr-2016","       2417.05","       2402.30","       2457.05","       2402.30","       2453.00","       2451.25","       2441.63","    1133827","      27683.89","      56820"
"TCS","EQ","26-Apr-2016","       2451.25","       2449.00","       2493.50","       2442.00","       2488.00","       2489.80","       2473.61","    1277184","      31592.55","      76806"
"TCS","EQ","27-Apr-2016","       2489.80","       2480.00","       2514.60","       2475.90","       2511.50","       2511.10","       2502.32","     924335","      23129.81","      58165"
"TCS","EQ","28-Apr-2016","       2511.10","       2501.30","       2540.00","       2498.10","       2527.00","       2527.75","       2526.07","    2496372","      63060.21","      93432"
"TCS","EQ","29-Apr-2016","       2527.75","       2517.00","       2542.00","       2510.00","       2540.10","       2535.50","       2529.22","    1186089","      29998.74","      78355"
"TCS","EQ","02-May-2016","       2535.50","       2529.00","       2530.00","       2500.00","       2525.10","       2526.70","       2516.27","     558346","      14049.47","      33410"
"TCS","EQ","03-May-2016","       2526.70","       2525.00","       2530.00","       2472.00","       2473.90","       2478.10","       2496.18","    1076559","      26872.84","      46517"
"TCS","EQ","04-May-2016","       2478.10","       2473.90","       2494.05","       2457.00","       2478.00","       2478.00","       2472.40","     682446","      16872.77","      32957"
"TCS","EQ","05-May-2016","       2478.00","       2478.00","       2489.95","       2463.55","       2469.30","       2470.30","       2472.47","     623283","      15410.49","      34994"
"TCS","EQ","06-May-2016","       2470.30","       2465.00","       2484.30","       2431.00","       2479.00","       2473.40","       2456.60","     442799","      10877.79","      29141"
"TCS","EQ","09-May-2016","       2473.40","       2473.40","       2518.00","       2456.40","       2514.60","       2512.55","       2499.22","     910638","      22758.85","      50476"
"TCS","EQ","10-May-2016","       2512.55","       2515.00","       2533.95","       2496.00","       2522.90","       2522.90","       2515.63","     579267","      14572.24","      47846"
"TCS","EQ","11-May-2016","       2522.90","       2500.00","       2525.60","       2490.00","       2524.80","       2518.30","       2514.08","     799358","      20096.48","      37888"
"TCS","EQ","12-May-2016","       2518.30","       2520.55","       2569.90","       2520.55","       2566.00","       2566.20","       2554.51","     756541","      19325.91","      52202"
"TCS","EQ","13-May-2016","       2566.20","       2565.00","       2566.00","       2510.15","       2525.00","       2523.40","       2530.28","     810865","      20517.19","      36862"
"TCS","EQ","16-May-2016","       2523.40","       2538.00","       2564.80","       2522.50","       2552.75","       2551.15","       2543.39","     555763","      14135.23","      38211"
"TCS","EQ","17-May-2016","       2551.15","       2564.20","       2591.25","       2552.00","       2570.00","       2570.20","       2572.85","     878349","      22598.58","      75704"
"TCS","EQ","18-May-2016","       2570.20","       2565.85","       2565.85","       2526.05","       2553.00","       2551.10","       2543.29","     750370","      19084.12","      48191"
"TCS","EQ","19-May-2016","       2551.10","       2555.00","       2560.00","       2526.10","       2555.00","       2556.95","       2548.52","     519396","      13236.92","      38811"
"TCS","EQ","20-May-2016","       2556.95","       2542.30","       2565.80","       2522.80","       2529.90","       2529.30","       2542.91","     615459","      15650.58","      43356"
"TCS","EQ","23-May-2016","       2529.30","       2544.00","       2545.90","       2480.20","       2483.00","       2491.45","       2510.13","     766508","      19240.37","      27319"
"TCS","EQ","24-May-2016","       2491.45","       2484.00","       2488.25","       2459.60","       2468.60","       2467.70","       2467.63","     669579","      16522.76","      30007"
